iter	Passed	Remaining
288	629	1548
289	630	1543
290	632	1539
291	633	1535
292	634	1531
293	636	1527
294	637	1523
295	638	1518
296	640	1515
297	641	1511
298	642	1507
299	643	1502
300	645	1498
301	646	1494
302	647	1490
303	648	1485
304	650	1481
305	652	1479
306	653	1475
307	655	1471
308	656	1467
309	657	1463
310	658	1459
311	660	1455
312	661	1451
313	662	1447
314	664	1444
315	665	1441
316	667	1437
317	668	1433
318	669	1430
319	671	1426
320	672	1422
321	673	1418
322	675	1414
323	678	1414
324	679	1411
325	680	1407
326	682	1403
327	683	1400
328	684	1397
329	686	1393
330	687	1389
331	689	1386
332	693	1388
333	694	1384
334	695	1380
335	696	1376
336	697	1373
337	699	1369
338	700	1366
339	702	1364
340	704	1360
341	705	1357
342	706	1353
343	707	1349
344	708	1345
345	709	1341
346	711	1338
347	713	1336
348	714	1333
349	716	1329
350	717	1326
351	718	1323
352	720	1320
353	721	1316
354	722	1313
355	724	1309
356	725	1307
357	727	1303
358	728	1300
359	729	1297
360	731	1294
361	732	1291
362	734	1289
363	736	1286
364	737	1283
365	739	1281
366	740	1277
367	742	1274
368	743	1271
369	745	1268
370	746	1265
371	747	1261
372	749	1259
373	750	1256
374	753	1255
375	754	1252
376	756	1249
377	757	1247
378	759	1244
379	761	1241
380	762	1239
381	764	1236
382	765	1233
383	767	1230
384	768	1227
385	770	1225
386	771	1221
387	772	1218
388	774	1215
389	775	1213
390	776	1210
391	778	1207
392	779	1204
393	781	1201
394	782	1198
395	783	1195
396	785	1192
397	786	1190
398	788	1187
399	789	1184
400	790	1181
401	791	1177
402	793	1174
403	794	1171
404	795	1168
405	796	1165
406	798	1162
407	800	1160
408	801	1158
409	803	1155
410	804	1152
411	805	1150
412	807	1147
413	808	1144
414	809	1141
415	811	1138
416	812	1136
417	814	1133
418	815	1130
419	816	1127
420	818	1125
421	819	1122
422	821	1120
423	823	1118
424	824	1116
425	826	1113
426	827	1110
427	828	1107
428	830	1104
429	831	1101
430	832	1099
431	833	1096
432	835	1093
433	836	1091
434	838	1088
435	839	1085
436	840	1083
437	842	1080
438	843	1077
439	844	1075
440	846	1072
441	848	1070
442	849	1068
443	851	1065
444	852	1063
445	853	1060
446	855	1058
447	856	1055
448	857	1052
449	859	1050
450	861	1049
451	863	1046
452	864	1044
453	866	1041
454	867	1038
